"","country","key","value"
"26.p1","Cuba","p1",4.83
"26.p2","Cuba","p2",0.17
"26.p3","Cuba","p3",0
"26.p4","Cuba","p4",2.06
"26.p5","Cuba","p5",0.67
"26.p6","Cuba","p6",0.06
"27.p1","Cyprus","p1",4.93
"27.p2","Cyprus","p2",1.6
"27.p3","Cyprus","p3",0.1
"27.p4","Cyprus","p4",3.8
"27.p5","Cyprus","p5",0.83
"27.p6","Cyprus","p6",0.07
"28.p1","Czech Republic","p1",6.33
"28.p2","Czech Republic","p2",2.27
"28.p3","Czech Republic","p3",0.73
"28.p4","Czech Republic","p4",5.83
"28.p5","Czech Republic","p5",4.27
"28.p6","Czech Republic","p6",0.67
"29.p1","Denmark","p1",5.83
"29.p2","Denmark","p2",1.67
"29.p3","Denmark","p3",0.5
"29.p4","Denmark","p4",4.97
"29.p5","Denmark","p5",1.77
"29.p6","Denmark","p6",0.17
"30.p1","Dominican Republic","p1",2.43
"30.p2","Dominican Republic","p2",0.07
"30.p3","Dominican Republic","p3",0
"30.p4","Dominican Republic","p4",1.62
"30.p5","Dominican Republic","p5",0.5
"30.p6","Dominican Republic","p6",0
"31.p1","Ecuador","p1",3.37
"31.p2","Ecuador","p2",0.47
"31.p3","Ecuador","p3",0.03
"31.p4","Ecuador","p4",2.4
"31.p5","Ecuador","p5",0.57
"31.p6","Ecuador","p6",0
"32.p1","Egypt","p1",0.5
"32.p2","Egypt","p2",0
"32.p3","Egypt","p3",0
"32.p4","Egypt","p4",0
"32.p5","Egypt","p5",0.5
"32.p6","Egypt","p6",0
"33.p1","El Salvador","p1",4.97
"33.p2","El Salvador","p2",1.85
"33.p3","El Salvador","p3",0.17
"33.p4","El Salvador","p4",3.39
"33.p5","El Salvador","p5",0.73
"33.p6","El Salvador","p6",0
"34.p1","Estonia","p1",6.13
"34.p2","Estonia","p2",2.37
"34.p3","Estonia","p3",0.2
"34.p4","Estonia","p4",4.5
"34.p5","Estonia","p5",2.4
"34.p6","Estonia","p6",0.07
"35.p1","Finland","p1",5.07
"35.p2","Finland","p2",1.9
"35.p3","Finland","p3",0.07
"35.p4","Finland","p4",3.73
"35.p5","Finland","p5",2.4
"35.p6","Finland","p6",0.13
"36.p1","France","p1",6.23
"36.p2","France","p2",4.1
"36.p3","France","p3",1.07
"36.p4","France","p4",6.67
"36.p5","France","p5",4.13
"36.p6","France","p6",0.87
"37.p1","Georgia","p1",6.17
"37.p2","Georgia","p2",2.73
"37.p3","Georgia","p3",0.83
"37.p4","Georgia","p4",6.07
"37.p5","Georgia","p5",3.3
"37.p6","Georgia","p6",0.27
"38.p1","Germany","p1",6.73
"38.p2","Germany","p2",4.93
"38.p3","Germany","p3",1.03
"38.p4","Germany","p4",6.27
"38.p5","Germany","p5",5
"38.p6","Germany","p6",0.6
"39.p1","Ghana","p1",2.53
"39.p2","Ghana","p2",0.21
"39.p3","Ghana","p3",0.08
"39.p4","Ghana","p4",0.65
"39.p5","Ghana","p5",0.45
"39.p6","Ghana","p6",0
"40.p1","Greece","p1",5.97
"40.p2","Greece","p2",3.67
"40.p3","Greece","p3",0.6
"40.p4","Greece","p4",5.47
"40.p5","Greece","p5",3.03
"40.p6","Greece","p6",0.17
"41.p1","Guatemala","p1",2
"41.p2","Guatemala","p2",0
"41.p3","Guatemala","p3",0
"41.p4","Guatemala","p4",0.5
"41.p5","Guatemala","p5",0
"41.p6","Guatemala","p6",0
"42.p1","Honduras","p1",2.77
"42.p2","Honduras","p2",0.15
"42.p3","Honduras","p3",0
"42.p4","Honduras","p4",2.03
"42.p5","Honduras","p5",0.05
"42.p6","Honduras","p6",0
"43.p1","Hong Kong","p1",6.87
"43.p2","Hong Kong","p2",3.83
"43.p3","Hong Kong","p3",1.73
"43.p4","Hong Kong","p4",6.5
"43.p5","Hong Kong","p5",4.13
"43.p6","Hong Kong","p6",0.8
"44.p1","Hungary","p1",6.9
"44.p2","Hungary","p2",4.33
"44.p3","Hungary","p3",1.9
"44.p4","Hungary","p4",5.63
"44.p5","Hungary","p5",4.5
"44.p6","Hungary","p6",0.97
"45.p1","Iceland","p1",3.13
"45.p2","Iceland","p2",0.3
"45.p3","Iceland","p3",0
"45.p4","Iceland","p4",1.4
"45.p5","Iceland","p5",1
"45.p6","Iceland","p6",0.07
"46.p1","India","p1",6.25
"46.p2","India","p2",4.54
"46.p3","India","p3",1.92
"46.p4","India","p4",6.12
"46.p5","India","p5",5.04
"46.p6","India","p6",1.62
"47.p1","Indonesia","p1",6.87
"47.p2","Indonesia","p2",3.2
"47.p3","Indonesia","p3",0.6
"47.p4","Indonesia","p4",6.7
"47.p5","Indonesia","p5",3.17
"47.p6","Indonesia","p6",0.1
"48.p1","Iran","p1",6.83
"48.p2","Iran","p2",4.53
"48.p3","Iran","p3",1.67
"48.p4","Iran","p4",6.8
"48.p5","Iran","p5",4.5
"48.p6","Iran","p6",0.77
"49.p1","Iraq","p1",2.2
"49.p2","Iraq","p2",0.28
"49.p3","Iraq","p3",0.05
"49.p4","Iraq","p4",1.48
"49.p5","Iraq","p5",0.6
"49.p6","Iraq","p6",0
"50.p1","Ireland","p1",4.37
"50.p2","Ireland","p2",0.73
"50.p3","Ireland","p3",0.03
"50.p4","Ireland","p4",2.93
"50.p5","Ireland","p5",1.23
"50.p6","Ireland","p6",0
"51.p1","Israel","p1",6.4
"51.p2","Israel","p2",4.33
"51.p3","Israel","p3",2.1
"51.p4","Israel","p4",6.77
"51.p5","Israel","p5",5.37
"51.p6","Israel","p6",0.97
"52.p1","Italy","p1",6.77
"52.p2","Italy","p2",4.83
"52.p3","Italy","p3",1.5
"52.p4","Italy","p4",6.53
"52.p5","Italy","p5",6
"52.p6","Italy","p6",1.03
"53.p1","Japan","p1",6.97
"53.p2","Japan","p2",4.33
"53.p3","Japan","p3",1.77
"53.p4","Japan","p4",6.37
"53.p5","Japan","p5",5
"53.p6","Japan","p6",1.3
"54.p1","Kazakhstan","p1",6.73
"54.p2","Kazakhstan","p2",5.13
"54.p3","Kazakhstan","p3",1.17
"54.p4","Kazakhstan","p4",6.73
"54.p5","Kazakhstan","p5",3.8
"54.p6","Kazakhstan","p6",0.37
"55.p1","Kenya","p1",0.47
"55.p2","Kenya","p2",0.1
"55.p3","Kenya","p3",0
"55.p4","Kenya","p4",0.08
"55.p5","Kenya","p5",0.05
"55.p6","Kenya","p6",0
"56.p1","Kyrgyzstan","p1",4.53
"56.p2","Kyrgyzstan","p2",1.67
"56.p3","Kyrgyzstan","p3",0.03
"56.p4","Kyrgyzstan","p4",3.67
"56.p5","Kyrgyzstan","p5",1.7
"56.p6","Kyrgyzstan","p6",0.07
"57.p1","Latvia","p1",5.43
"57.p2","Latvia","p2",1.33
"57.p3","Latvia","p3",0.07
"57.p4","Latvia","p4",4.97
"57.p5","Latvia","p5",1.87
"57.p6","Latvia","p6",0
"58.p1","Liechtenstein","p1",6
"58.p2","Liechtenstein","p2",0.33
"58.p3","Liechtenstein","p3",0.17
"58.p4","Liechtenstein","p4",4.67
"58.p5","Liechtenstein","p5",0.33
"58.p6","Liechtenstein","p6",0
"59.p1","Lithuania","p1",6
"59.p2","Lithuania","p2",1.93
"59.p3","Lithuania","p3",0.71
"59.p4","Lithuania","p4",4.1
"59.p5","Lithuania","p5",2.53
"59.p6","Lithuania","p6",0
"60.p1","Luxembourg","p1",2.31
"60.p2","Luxembourg","p2",0.15
"60.p3","Luxembourg","p3",0
"60.p4","Luxembourg","p4",2.21
"60.p5","Luxembourg","p5",0.31
"60.p6","Luxembourg","p6",0
"61.p1","Macau","p1",5.33
"61.p2","Macau","p2",1.9
"61.p3","Macau","p3",0.17
"61.p4","Macau","p4",4.1
"61.p5","Macau","p5",2.7
"61.p6","Macau","p6",0
"62.p1","Malaysia","p1",6
"62.p2","Malaysia","p2",2.77
"62.p3","Malaysia","p3",1.03
"62.p4","Malaysia","p4",5.73
"62.p5","Malaysia","p5",3.27
"62.p6","Malaysia","p6",0.3
"63.p1","Mauritania","p1",0.94
"63.p2","Mauritania","p2",0.78
"63.p3","Mauritania","p3",0
"63.p4","Mauritania","p4",2.22
"63.p5","Mauritania","p5",0.11
"63.p6","Mauritania","p6",0
"64.p1","Mexico","p1",6.9
"64.p2","Mexico","p2",3.2
"64.p3","Mexico","p3",1.33
"64.p4","Mexico","p4",6.43
"64.p5","Mexico","p5",4
