"year","category","value"
2000,"p1",4.09544468546638
2000,"p2",2.76789587852495
2000,"p3",0.655097613882863
2000,"p4",3.1822125813449
2000,"p5",1.63340563991323
2000,"p6",1.04989154013015
2001,"p1",3.64482029598309
2001,"p2",1.54968287526427
2001,"p3",0.87737843551797
2001,"p4",3.23255813953488
2001,"p5",2.72938689217759
2001,"p6",0.778012684989429
2002,"p1",3.44885177453027
2002,"p2",3.55741127348643
2002,"p3",0.590814196242171
2002,"p4",3.89561586638831
2002,"p5",2.26722338204593
2002,"p6",0.409185803757829
2003,"p1",3.55798687089716
2003,"p2",2.30415754923414
2003,"p3",0.404814004376368
2003,"p4",4.63238512035011
2003,"p5",1.61269146608315
2003,"p6",0.577680525164114
2004,"p1",4.60288065843621
2004,"p2",2.76131687242798
2004,"p3",1.01234567901235
2004,"p4",4.08024691358025
2004,"p5",2.51234567901235
2004,"p6",1.25720164609054
2005,"p1",2.6140350877193
2005,"p2",3.05068226120858
2005,"p3",0.912280701754386
2005,"p4",3.75828460038986
2005,"p5",2.16959064327485
2005,"p6",1.34502923976608
2006,"p1",5.6144578313253
2006,"p2",1.83333333333333
2006,"p3",0.65863453815261
2006,"p4",4.99799196787149
2006,"p5",1.18273092369478
2006,"p6",0.186746987951807
2007,"p1",3.38269230769231
2007,"p2",2.51923076923077
2007,"p3",0.303846153846154
2007,"p4",5.68076923076923
2007,"p5",1.89807692307692
2007,"p6",0.151923076923077
2008,"p1",4.97943925233645
2008,"p2",2.56261682242991
2008,"p3",0.803738317757009
2008,"p4",4.4018691588785
2008,"p5",2.07663551401869
2008,"p6",0.25981308411215
2009,"p1",4.80353982300885
2009,"p2",3.70973451327434
2009,"p3",1.01946902654867
2009,"p4",2.91504424778761
2009,"p5",2.47433628318584
2009,"p6",0.168141592920354
2010,"p1",5.38697318007663
2010,"p2",2.54789272030651
2010,"p3",0.459770114942529
2010,"p4",5.28352490421456
2010,"p5",0.921455938697318
2010,"p6",0.363984674329502
2011,"p1",5.34635879218472
2011,"p2",0.653641207815275
2011,"p3",1.0550621669627
2011,"p4",4.06927175843694
2011,"p5",3.25932504440497
2011,"p6",0.317939609236234
2012,"p1",5.62522851919561
2012,"p2",2.55027422303474
2012,"p3",0.413162705667276
2012,"p4",3.76599634369287
2012,"p5",1.6636197440585
2012,"p6",0.336380255941499
2013,"p1",4.10815939278937
2013,"p2",2.52561669829222
2013,"p3",0.785578747628083
2013,"p4",5.44212523719165
2013,"p5",2.45161290322581
2013,"p6",0.296015180265655
2014,"p1",5.34821428571429
2014,"p2",2.97142857142857
2014,"p3",0.505357142857143
2014,"p4",5.18928571428571
2014,"p5",1.70892857142857
2014,"p6",0.339285714285714
2015,"p1",4.30675909878683
2015,"p2",1.35875216637782
2015,"p3",0.653379549393414
2015,"p4",4.79376083188908
2015,"p5",1.51299826689775
2015,"p6",0.35528596187175
2016,"p1",5.27242524916944
2016,"p2",2.03322259136213
2016,"p3",0.250830564784053
2016,"p4",4.74418604651163
2016,"p5",1.67774086378738
2016,"p6",0.805647840531561
2017,"p1",5.94308943089431
2017,"p2",2.30406504065041
2017,"p3",0.0422764227642276
2017,"p4",5.02926829268293
2017,"p5",0.969105691056911
2017,"p6",0.294308943089431
2018,"p1",4.93434343434343
2018,"p2",2.94612794612795
2018,"p3",0.277777777777778
2018,"p4",3.96127946127946
2018,"p5",2.6952861952862
2018,"p6",0.638047138047138
2019,"p1",5.17874396135266
2019,"p2",2.39935587761675
2019,"p3",0.571658615136876
2019,"p4",3.73590982286634
2019,"p5",3.56682769726248
2019,"p6",0.402576489533011
2020,"p1",5.31331168831169
2020,"p2",2.24837662337662
2020,"p3",0.939935064935065
2020,"p4",3.93831168831169
2020,"p5",2.79707792207792
2020,"p6",0.282467532467532
2021,"p1",4.39256865912763
2021,"p2",0.374798061389338
2021,"p3",0.37156704361874
2021,"p4",3.81744749596123
2021,"p5",2.15185783521809
2021,"p6",0.481421647819063
2022,"p1",5.52487135506003
2022,"p2",4.2778730703259
2022,"p3",0.759862778730703
2022,"p4",5.45111492281304
2022,"p5",3.48542024013722
2022,"p6",0.660377358490566
2023,"p1",5.78606158833063
2023,"p2",3.11021069692058
2023,"p3",1.18962722852512
2023,"p4",4.65640194489465
2023,"p5",2.35332252836305
2023,"p6",0.26580226904376
2024,"p1",5.55555555555556
2024,"p2",2.49917081260365
2024,"p3",0.417910447761194
2024,"p4",4.83913764510779
2024,"p5",2.20563847429519
2024,"p6",0.381426202321725
