"","country","key","value"
"26.p3","Colombia","p3",0.2
"26.p4","Colombia","p4",4.49
"26.p5","Colombia","p5",1.61
"26.p6","Colombia","p6",0.27
"27.p1","Costa Rica","p1",4.42
"27.p2","Costa Rica","p2",1
"27.p3","Costa Rica","p3",0.06
"27.p4","Costa Rica","p4",3.79
"27.p5","Costa Rica","p5",0.85
"27.p6","Costa Rica","p6",0.07
"28.p1","Côte d'Ivoire","p1",2.59
"28.p2","Côte d'Ivoire","p2",0.3
"28.p3","Côte d'Ivoire","p3",0
"28.p4","Côte d'Ivoire","p4",1.21
"28.p5","Côte d'Ivoire","p5",0.26
"28.p6","Côte d'Ivoire","p6",0
"29.p1","Croatia","p1",5.9
"29.p2","Croatia","p2",2.85
"29.p3","Croatia","p3",0.42
"29.p4","Croatia","p4",5.39
"29.p5","Croatia","p5",2.49
"29.p6","Croatia","p6",0.26
"30.p1","Cuba","p1",4.39
"30.p2","Cuba","p2",2.9
"30.p3","Cuba","p3",0.63
"30.p4","Cuba","p4",4.51
"30.p5","Cuba","p5",1.4
"30.p6","Cuba","p6",0.1
"31.p1","Cyprus","p1",3.29
"31.p2","Cyprus","p2",1.35
"31.p3","Cyprus","p3",0.13
"31.p4","Cyprus","p4",3.03
"31.p5","Cyprus","p5",0.74
"31.p6","Cyprus","p6",0.1
"32.p1","Czech Republic","p1",5.98
"32.p2","Czech Republic","p2",2.46
"32.p3","Czech Republic","p3",0.42
"32.p4","Czech Republic","p4",4.93
"32.p5","Czech Republic","p5",2.73
"32.p6","Czech Republic","p6",0.29
"33.p1","Denmark","p1",4.18
"33.p2","Denmark","p2",1.47
"33.p3","Denmark","p3",0.27
"33.p4","Denmark","p4",3.31
"33.p5","Denmark","p5",1.3
"33.p6","Denmark","p6",0.18
"34.p1","Dominican Republic","p1",1.98
"34.p2","Dominican Republic","p2",0.05
"34.p3","Dominican Republic","p3",0
"34.p4","Dominican Republic","p4",1.22
"34.p5","Dominican Republic","p5",0.48
"34.p6","Dominican Republic","p6",0
"35.p1","Ecuador","p1",2.24
"35.p2","Ecuador","p2",0.66
"35.p3","Ecuador","p3",0.01
"35.p4","Ecuador","p4",2.01
"35.p5","Ecuador","p5",0.36
"35.p6","Ecuador","p6",0.01
"36.p1","Egypt","p1",0.55
"36.p2","Egypt","p2",0.23
"36.p3","Egypt","p3",0
"36.p4","Egypt","p4",0.47
"36.p5","Egypt","p5",0.45
"36.p6","Egypt","p6",0
"37.p1","El Salvador","p1",4.07
"37.p2","El Salvador","p2",0.98
"37.p3","El Salvador","p3",0.09
"37.p4","El Salvador","p4",2.98
"37.p5","El Salvador","p5",0.69
"37.p6","El Salvador","p6",0.16
"38.p1","Estonia","p1",4.74
"38.p2","Estonia","p2",1.69
"38.p3","Estonia","p3",0.1
"38.p4","Estonia","p4",3.85
"38.p5","Estonia","p5",1.37
"38.p6","Estonia","p6",0.11
"39.p1","Finland","p1",4.06
"39.p2","Finland","p2",1.3
"39.p3","Finland","p3",0.15
"39.p4","Finland","p4",2.99
"39.p5","Finland","p5",1.33
"39.p6","Finland","p6",0.17
"40.p1","France","p1",5.91
"40.p2","France","p2",3.11
"40.p3","France","p3",0.73
"40.p4","France","p4",5.53
"40.p5","France","p5",2.74
"40.p6","France","p6",0.55
"41.p1","Gambia","p1",0
"41.p2","Gambia","p2",0
"41.p3","Gambia","p3",0
"41.p4","Gambia","p4",0.17
"41.p5","Gambia","p5",0
"41.p6","Gambia","p6",0
"42.p1","Georgia","p1",5.54
"42.p2","Georgia","p2",2.58
"42.p3","Georgia","p3",0.34
"42.p4","Georgia","p4",5.45
"42.p5","Georgia","p5",2.13
"42.p6","Georgia","p6",0.21
"43.p1","Germany","p1",6.07
"43.p2","Germany","p2",3.97
"43.p3","Germany","p3",1.31
"43.p4","Germany","p4",6.11
"43.p5","Germany","p5",3.96
"43.p6","Germany","p6",1.19
"44.p1","Ghana","p1",2.03
"44.p2","Ghana","p2",0.21
"44.p3","Ghana","p3",0.04
"44.p4","Ghana","p4",0.53
"44.p5","Ghana","p5",0.25
"44.p6","Ghana","p6",0
"45.p1","Greece","p1",5.13
"45.p2","Greece","p2",2.65
"45.p3","Greece","p3",0.35
"45.p4","Greece","p4",4.92
"45.p5","Greece","p5",2.35
"45.p6","Greece","p6",0.2
"46.p1","Guatemala","p1",1.56
"46.p2","Guatemala","p2",0.27
"46.p3","Guatemala","p3",0.03
"46.p4","Guatemala","p4",1.13
"46.p5","Guatemala","p5",0.29
"46.p6","Guatemala","p6",0
"47.p1","Honduras","p1",2.64
"47.p2","Honduras","p2",0.48
"47.p3","Honduras","p3",0
"47.p4","Honduras","p4",1.45
"47.p5","Honduras","p5",0.14
"47.p6","Honduras","p6",0
"48.p1","Hong Kong","p1",6.09
"48.p2","Hong Kong","p2",3.83
"48.p3","Hong Kong","p3",0.94
"48.p4","Hong Kong","p4",5.57
"48.p5","Hong Kong","p5",3.46
"48.p6","Hong Kong","p6",0.61
"49.p1","Hungary","p1",6.82
"49.p2","Hungary","p2",4.21
"49.p3","Hungary","p3",1.43
"49.p4","Hungary","p4",5.91
"49.p5","Hungary","p5",3.76
"49.p6","Hungary","p6",1.32
"50.p1","Iceland","p1",2.79
"50.p2","Iceland","p2",0.64
"50.p3","Iceland","p3",0.05
"50.p4","Iceland","p4",2.04
"50.p5","Iceland","p5",0.6
"50.p6","Iceland","p6",0.01
"51.p1","India","p1",5.94
"51.p2","India","p2",4
"51.p3","India","p3",0.9
"51.p4","India","p4",5.61
"51.p5","India","p5",3.34
"51.p6","India","p6",0.94
"52.p1","Indonesia","p1",5.46
"52.p2","Indonesia","p2",2.51
"52.p3","Indonesia","p3",0.4
"52.p4","Indonesia","p4",5.6
"52.p5","Indonesia","p5",2.74
"52.p6","Indonesia","p6",0.24
"53.p1","Iran","p1",6.49
"53.p2","Iran","p2",4.68
"53.p3","Iran","p3",1.65
"53.p4","Iran","p4",6.63
"53.p5","Iran","p5",4.29
"53.p6","Iran","p6",1.05
"54.p1","Iraq","p1",1.82
"54.p2","Iraq","p2",0.14
"54.p3","Iraq","p3",0.03
"54.p4","Iraq","p4",0.85
"54.p5","Iraq","p5",0.45
"54.p6","Iraq","p6",0.03
"55.p1","Ireland","p1",3
"55.p2","Ireland","p2",0.77
"55.p3","Ireland","p3",0.17
"55.p4","Ireland","p4",2.53
"55.p5","Ireland","p5",0.83
"55.p6","Ireland","p6",0.06
"56.p1","Israel","p1",6.1
"56.p2","Israel","p2",3.81
"56.p3","Israel","p3",1.13
"56.p4","Israel","p4",5.6
"56.p5","Israel","p5",3.33
"56.p6","Israel","p6",0.93
"57.p1","Italy","p1",5.81
"57.p2","Italy","p2",3.83
"57.p3","Italy","p3",0.93
"57.p4","Italy","p4",5.71
"57.p5","Italy","p5",3.49
"57.p6","Italy","p6",0.58
"58.p1","Jamaica","p1",5
"58.p2","Jamaica","p2",0
"58.p3","Jamaica","p3",0
"58.p4","Jamaica","p4",4
"58.p5","Jamaica","p5",0
"58.p6","Jamaica","p6",0
"59.p1","Japan","p1",6.7
"59.p2","Japan","p2",4.58
"59.p3","Japan","p3",1.67
"59.p4","Japan","p4",6.29
"59.p5","Japan","p5",4.55
"59.p6","Japan","p6",1.6
"60.p1","Kazakhstan","p1",6.19
"60.p2","Kazakhstan","p2",4.23
"60.p3","Kazakhstan","p3",0.66
"60.p4","Kazakhstan","p4",6.07
"60.p5","Kazakhstan","p5",3.29
"60.p6","Kazakhstan","p6",0.65
"61.p1","Kenya","p1",0.43
"61.p2","Kenya","p2",0.06
"61.p3","Kenya","p3",0
"61.p4","Kenya","p4",0.12
"61.p5","Kenya","p5",0.12
"61.p6","Kenya","p6",0.12
"62.p1","Kuwait","p1",0.15
"62.p2","Kuwait","p2",0.33
"62.p3","Kuwait","p3",0
"62.p4","Kuwait","p4",0.33
"62.p5","Kuwait","p5",0.13
"62.p6","Kuwait","p6",0.02
"63.p1","Kyrgyzstan","p1",2.77
"63.p2","Kyrgyzstan","p2",1.03
"63.p3","Kyrgyzstan","p3",0.14
"63.p4","Kyrgyzstan","p4",2.61
"63.p5","Kyrgyzstan","p5",0.69
"63.p6","Kyrgyzstan","p6",0.04
"64.p1","Laos","p1",0
"64.p2","Laos","p2",0
"64.p3","Laos","p3",0
"64.p4","Laos","p4",0
"64.p5","Laos","p5",0
"64.p6","Laos","p6",0
"65.p1","Latvia","p1",4.14
"65.p2","Latvia","p2",1.23
"65.p3","Latvia","p3",0.08
"65.p4","Latvia","p4",3.9
"65.p5","Latvia","p5",1.19
"65.p6","Latvia","p6",0.24
"66.p1","Liechtenstein","p1",3.4
"66.p2","Liechtenstein","p2",1.63
"66.p3","Liechtenstein","p3",0.03
"66.p4","Liechtenstein","p4",3.26
"66.p5","Liechtenstein","p5",0.62
"66.p6","Liechtenstein","p6",0
"67.p1","Lithuania","p1",5.19
"67.p2","Lithuania","p2",1.63
"67.p3","Lithuania","p3",0.33
"67.p4","Lithuania","p4",4.36
"67.p5","Lithuania","p5",1.35
"67.p6","Lithuania","p6",0.05
"68.p1","Luxembourg","p1",3.23
"68.p2","Luxembourg","p2",0.98
"68.p3","Luxembourg","p3",0.03
"68.p4","Luxembourg","p4",2.86
"68.p5","Luxembourg","p5",0.52
"68.p6","Luxembourg","p6",0.05
"69.p1","Macau","p1",4.01
"69.p2","Macau","p2",1.62
"69.p3","Macau","p3",0.11
"69.p4","Macau","p4",3.96
"69.p5","Macau","p5",1.55
"69.p6","Macau","p6",0.04
"70.p1","Madagascar","p1",1.4
"70.p2","Madagascar","p2",0.4
"70.p3","Madagascar","p3",0
"70.p4","Madagascar","p4",0
"70.p5","Madagascar","p5",0
"70.p6","Madagascar","p6",0.2
"71.p1","Malaysia","p1",4.42
"71.p2","Malaysia","p2",1.87
"71.p3","Malaysia","p3",0.4
"71.p4","Malaysia","p4",4.23
"71.p5","Malaysia","p5",1.8
"71.p6","Malaysia","p6",0.14
"72.p1","Mauritania","p1",0.79
"72.p2","Mauritania","p2",0.71
"72.p3","Mauritania","p3",0.08
"72.p4","Mauritania","p4",1.71
"72.p5","Mauritania","p5",0.08
"72.p6","Mauritania","p6",0
"73.p1","Mexico","p1",5.78
"73.p2","Mexico","p2",2.99
"73.p3","Mexico","p3",0.39
"73.p4","Mexico","p4",5.57
"73.p5","Mexico","p5",2.51
"73.p6","Mexico","p6",0.33
"74.p1","Moldova","p1",5.52
"74.p2","Moldova","p2",2.37
"74.p3","Moldova","p3",0.47
"74.p4","Moldova","p4",4.75
"74.p5","Moldova","p5",2.13
"74.p6","Moldova","p6",0.53
"75.p1","Mongolia","p1",5.62
"75.p2","Mongolia","p2",3.04
"75.p3","Mongolia","p3",0.44
"75.p4","Mongolia","p4",5.57
"75.p5","Mongolia","p5",2.22
"75.p6","Mongolia","p6",0.39
"76.p1","Montenegro","p1",2.55
"76.p2","Montenegro","p2",0.75
"76.p3","Montenegro","p3",0.07
"76.p4","Montenegro","p4",1.67
"76.p5","Montenegro","p5",0.86
"76.p6","Montenegro","p6",0
"77.p1","Morocco","p1",3.28
