"","country","key","value"
"127.p3","Uzbekistan","p3",0.13
"127.p4","Uzbekistan","p4",4.13
"127.p5","Uzbekistan","p5",1.58
"127.p6","Uzbekistan","p6",0.11
"128.p1","Venezuela","p1",3.16
"128.p2","Venezuela","p2",0.64
"128.p3","Venezuela","p3",0.03
"128.p4","Venezuela","p4",2.81
"128.p5","Venezuela","p5",0.42
"128.p6","Venezuela","p6",0
"129.p1","Vietnam","p1",6.45
"129.p2","Vietnam","p2",5.08
"129.p3","Vietnam","p3",2.22
"129.p4","Vietnam","p4",6.21
"129.p5","Vietnam","p5",4.69
"129.p6","Vietnam","p6",1.26
"130.p1","Zimbabwe","p1",0.83
"130.p2","Zimbabwe","p2",0.25
"130.p3","Zimbabwe","p3",0
"130.p4","Zimbabwe","p4",0.33
"130.p5","Zimbabwe","p5",0.25
"130.p6","Zimbabwe","p6",0
